Kérdés,Válasz
"Ha a cég nem köt keresztmegállapodást az egyetemmel, akkor hogyan kell létrehozni a témát a szakmai gyakorlat portálon?","Ha a cég nem köt keresztmegállapodást az egyetemmel, akkor nem szükséges létrehozni a témát a szakmai gyakorlat portálon. Az ott végzett munkát nem fogadják el szakmai gyakorlatként."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gy"
Milyen terjedelemben kell feltölteni a szakmai gyakorlat beszámolót a portálra?,A beszámolónak legalább 15 oldalnak kell lennie a szabályzat szerint.
"Mennyi időm van arra, hogy pótoljam a hiányzó beszámoló terjedelmét?","A pótlásra lehetőséged van holnap 12:00-ig, ha még ebben a félévben szeretnél aláírást kapni."
"Mik a követelmények ahhoz, hogy aláírást kapjak a szakmai gyakorlatra?","Az aláírás megszerzéséhez legalább 15 oldalas beszámolót kell feltöltened a portálra, amelynek tartalmaznia kell a gyakorlat teljesítésével kapcsolatos tapasztalataidat és tanulságaidat."
"Milyen határidővel kell teljesíteni a szakmai gyakorlatot, hogy az aláírást a következő félévben kapjam meg?","Ha a szakmai gyakorlatot a nyári időszakban végzed ajánlott módon, akkor a tárgyat a következő őszi félévben kell felvenned a Neptunban."
"Mik azok a feltételek, amelyeknek meg kell felelnem a szakmai gyakorlat teljesítéséhez?","A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, tehát fontos, hogy meglegyen belőle az aláírásod a szakdolgozatodhoz."
Milyen teendőim vannak a megállapodási szerződés megkötésével kapcsolatban?,"A megállapodási szerződést kitöltve és aláírva kell visszaküldened a cégnak. A tanszéki szakmai gyakorlat felelős oktatója továbbítja majd az email címére. Amennyiben a szerződésben hiányosság van, arról visszajelzést fogsz kapni."
Mikor kezdhetem meg a szakmai gyakorlatot?,A szakmai gyakorlatot a nyári időszakban tervezed elkezdeni. A következő őszi félévben kell felvenned a Szakmai gyakorlat tárgyat a Neptun rendszerben.
"Van-e akadálya annak, hogy a nyáron kezdjem el a szakmai gyakorlatot?","Nincs akadálya annak, hogy a nyáron kezd el a szakmai gyakorlatot, viszont a Szakmai gyakorlat tárgyat a következő őszi félévben kell felvenned a Neptun rendszerben."
Elérhető-e minta a hallgatói munkaszerződésre?,A hallgatói munkaszerződéssel kapcsolatban az egyetem nem nyújt segítséget. A hallgató és a cég között létrejövő kétoldalú munkaszerződésbe nem szól bele az egyetem.
Milyen dokumentumokat kell kitölteni a szakmai gyakorlat során?,"Csak az ilyenkor szükséges, szabályzat szerint előírt dokumentumokat kell kitölteni."
Kinek kell elküldeni az esetlegesen szükséges űrlapot?,"Ha valamilyen űrlapot kell kitöltened, azt az illetékes tanszéki szakmai gyakorlat felelősnek kell elküldened."
Melyik tanszéken kell érdeklődnöm a speciális esetű szakmai gyakorlat kapcsán?,A speciális esetű szakmai gyakorlat esetén a HVT-n kell érdeklődnöd Horváth Zoltán György tanszéki szakmai gyakorlat felelősnél.
"Van-e formanyomtatvány vagy űrlap, amelyet az ott töltött napok során alá kell íratni?",Nincs szükség formanyomtatványra vagy űrlapra az ott töltött napok aláírásához.
Van-e adminisztrációs feladatom a szakmai gyakorlattal kapcsolatban?,Nincs szükség adminisztrációs feladatokra a szakmai gyakorlattal kapcsolatban.
Van-e szükség keretmegállapodásra a szakmai gyakorlat elvégzéséhez?,Nem kell keretmegállapodás a szakmai gyakorlat elvégzéséhez.
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell fel"
Milyen dokumentumokat kell kitöltenem és aláíratnom a szakmai gyakorlatomhoz?,"A gyakorlat kezdete előtt egy feladatlapot kell kitöltened és elfogadtatnod, amely leírja a gyakorlat helyszínét, időpontját és tevékenységét. Ezen kívül lehet, hogy a foglalkoztató cég is kér tőled egyéb dokumentumokat, amelyeket alá kell íratnod velük."
"Mikor kell jelezni a BME-nek, ha szakmai gyakorlatot szeretnék végezni náluk?","A hallgatóknak kell jelezniük a szakmai gyakorlat iránti szándékukat a BME felé. Fontos, hogy időben tájékoztasd őket a szándékodról, hogy megfelelően előkészíthessék a gyakorlatot."
Milyen módon lehet szakmai gyakorlatot végezni a BME-n?,"A szakmai gyakorlatot hallgatói munkaszerződés keretében lehet végezni a BME-n. Ezt a munkaszerződést az adott cégkel kell kötni, amely a gyakorlatot foglalkoztatja."
"Milyen feltételeknek kell megfelelnem, hogy szakmai gyakorlatot végezhessek a BME-n?","A szakmai gyakorlatot a BME-n csak akkor végezheted, ha megfelelő keretmegállapodás köttetett a BME és a gyakorlatot fogadó cég között. Emellett fontos, hogy specializáción legyél és jelezd a szándékodat a BME felé."
Milyen dokumentumokra van szükség a szakmai gyakorlattal kapcsolatban?,"A szakmai gyakorlathoz szükséges dokumentumok közé tartozik a Kérelem, a Jelentkezési lap és a Feladatlap. Ezeket a hallgató küldi meg az illetékes tanszéknek."
Mikor kell véglegesíteni az Együttműködési megállapodást?,"Az Együttműködési megállapodást tavaly júniusban már létrehozták, de a központi nyilvántartásba még nem került be. Az újrakötését nem kell elvégezni."
Mikor kezdheti meg a hallgató a szakmai gyakorlatát?,"Amennyiben a hallgató megkapta az újabb Együttműködési megállapodást és annak 1. számú mellékletét, elkezdheti a 6 hetes szakmai gyakorlatát."
"Mi a teendő, ha további dokumentumokra vagy információra van szükség a szakmai gyakorlattal kapcsolatban?","Amennyiben további dokumentumokra vagy információra van szüksége a tanszéknek a szakmai gyakorlattal kapcsolatban, kérjük, vegye fel a kapcsolatot a megadott elérhetőségeken."
Milyen szerződéssel végezhetek szakmai gyakorlatot a BME VIK-nál?,A szakmai gyakorlatot hallgatói munkaszerződés keretében végezheted a BME Villamosmérnöki és Informatikai Karon.
Milyen feltételekkel lehet szakmai gyakorlatot végezni a BME VIK-nál?,"A szakmai gyakorlatot azok a hallgatók végezhetik, akik már specializációval rendelkeznek."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"A szakmai gyakorlat tárgyat akkor kell felvenni a Neptunban, ha a gyakorlatot az ajánlott módon a nyári időszakban végzed. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen jogviszonyban lehet szakmai gyakorlatot végezni a BME VIK-nál?,A szakmai gyakorlatot hallgatói munkaszerződés keretében lehet végezni a BME Villamosmérnöki és Informatikai Karon.
Milyen szervezettel kötött keretmegállapodása van a BME VIK-nak?,A BME Villamosmérnöki és Informatikai Kar 2020-ban kötött határozatlan idejű keretmegállapodást egy céggel.
Milyen munkaszerződést kell kötnöm a BME VIK szakmai gyakorlatához?,"A BME VIK szakmai gyakorlatához nem kell hallgatói munkaszerződést kötni. A szakmai gyakorlat keretmegállapodásokat kezelnek, amelyekben nem szólhatnak bele a hallgató és a cég között létrejövő kétoldalú munkaszerződésbe."
Milyen dokumentumot vagy sablont kell használnom a Tanulmányi Munkaszerződéshez?,"A BME-n nincs Tanulmányi Munkaszerződés fogalom. A szakmai gyakorlat keretmegállapodásokat kezelnek, amelyekhez nem szükséges külön dokumentum vagy sablon."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni a Neptun rendszerben. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Mikor kell kitöltenem a 6-os számú mellékletet a külföldön végzendő szakmai gyakorlatomhoz?,A 6-os számú mellékletet a külföldön végzendő szakmai gyakorlat előtt kell kitöltened és elküldened. A mellékletet a BME VIK honlapjáról tudod letölteni a következő linken: https://www.vik.bme.hu/kepzes/gyakorlat/436.html
Milyen cégeknél lehet külföldön szakmai gyakorlatot végezni a BME VIK-en keresztül?,"A BME VIK-en keresztül külföldi szakmai gyakorlatot végezni csak olyan cégeknél lehetséges, akikkel a Schönherz Iskolaszövetkezet szerződésben áll. Kérjük, előzetesen tájékozódj a cégek listájáról a Schönherz Iskolaszövetkezet honlapján."
Milyen feltételeknek kell megfelelnem a külföldön végzendő szakmai gyakorlatra való jelentkezéshez?,"A külföldön végzendő szakmai gyakorlatra jelentkezéshez szükséges, hogy a The MealPlanner Technologies Oy-nál nincs Magyarországon bejegyzett leányvállalatuk. Emellett a Schönherz Iskolaszövetkezetnél is szerződésben kell állnod."
Mikor kell elküldenem a kitöltött 6-os számú mellékletet a külföldön végzendő szakmai gyakorlatomhoz?,A kitöltött 6-os számú mellékletet a külföldön végzendő szakmai gyakorlat előtt kell elküldened a
Hogyan tudom leadni a megállapodási szerződést?,A megállapodási szerződést az AUT tanszék titkárságán tudod leadni a Q épület B szárny 207-es szobában.
Mikor fogom megkapni a megállapodást?,"A megállapodást a héten fogod megkapni, mivel azt a Dr. Blázovics László ma fogja elküldeni."
Mikor kezdhetem el a szakmai gyakorlatot?,"Igen, minden további nélkül elkezdheted a gyakorlatot a héten."
Van lehetőség elkezdeni a szakmai gyakorlatot a vizsgaidőszakban?,"Igen, van lehetőség elkezdeni a szakmai gyakorlatot a vizsgaidőszakban. A héten lesz az utolsó vizsgád, így a következő héten kezdheted a gyakorlatot."
"Mi a teendőm, ha augusztus közepén kezdődik az Erasmus félévem?","Ha augusztus közepén kezdődik az Erasmus féléved, akkor előtte szeretnéd teljesíteni a szakmai gyakorlatot. A megállapodás megkötése a héten vagy a jövő hét elején lehetséges az egyetem és a cég között."
Mikor lesz ismét elérhető Dr. Blázovics László?,Dr. Blázovics László legközelebb várhatóan június 19-én lesz ismét elérhető.
Milyen dokumentumokra van szükség a háromoldalú szerződés elkészítéséhez?,"A háromoldalú szerződés elkészítéséhez szükség van az EFI-labs képviselőjének nevére, e-mail címére és telefonszámára, valamint a KAR és a MISZISZ képviselőinek aláírására. Ezekre az információkra van szükség az aláírható megállapodás tervezet elküldéséhez."
Milyen intézmények között jön létre a háromoldalú szerződés a szakmai gyakorlat kapcsán?,"A háromoldalú szerződés a Budapest University of Technology and Economics (BME VIK), a Magyar Informatikai, Számítástechnikai és Automatizálási Szövetség (MISZISZ) és az EFI-labs cég között jön létre a szakmai gyakorlat kapcsán."
Mikor kell kérni a szakmai gyakorlatos papírt és a háromoldalú szerződést?,"A szakmai gyakorlatos papírt és a háromoldalú szerződést a tanszéktől kell kérni. Ezeket akkor kell elküldeni vagy behozni, amikor kitöltjük és aláírjuk őket, azaz a szakmai gyakorlat megkezdése előtt."
Milyen elérhetőségeken lehet felvenni a kapcsolatot a MISZISZ képviselőjével?,"A MISZISZ képviselőjével a következő elérhetőségeken lehet felvenni a kapcsolatot: e-mail: paragi.ferencz.zsofia@miszisz.hu, mobil: +36 30 446 9562. A képviselő tovább"
Mennyi ideig érvényes a BME VIK és a vállalat közötti szerződés?,"A keretmegállapodás határozatlan időre lett kötve, amennyiben nem mondják fel, még mindig érvényben van."
"Az ajánlott módon a nyári időszakban végzem a szakmai gyakorlatot, mikor kell felvennem a Szakmai gyakorlat tárgyat a Neptunban?","Amennyiben a gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
"Mi történik, ha a vállalat és a BME VIK közötti szerződés nem rendben van?","Amennyiben a vállalat azt kérdezi, hogy a vállalat és a kar közötti szerződés rendben van-e, fontos, hogy a szerződés határozatlan időre legyen kötve. Amennyiben probléma merül fel ezzel kapcsolatban, érdemes felkeresni a BME VIK szakmai gyakorlat referensét vagy a hallgatói központot, hogy segítséget kapj a helyzet rendezéséhez."
Milyen időszakban ajánlott végzem el a szakmai gyakorlatot?,"Az ajánlott időszak a nyári időszak, amikor nincsenek aktív oktatási kötelezettségek. Ebben az időszakban a vállalatok általában több lehetőséget is biztosítanak a szakmai"
Milyen formában kell beadni a szakmai gyakorlatomat a BME VIK-nél?,"A szakmai gyakorlatot a BME VIK-nél a megfelelő űrlap kitöltésével kell beadni. Az űrlap letölthető a honlapról, majd kitöltve és aláírva kell leadni a megadott határidőig."
Mikor lehet gyakorlatot végezni a BME VIK-nél?,"A szakmai gyakorlatot a BME VIK-nél általában a nyári időszakban lehet végezni. Fontos azonban, hogy a gyakorlat időpontját és időtartamát előzetesen egyeztesd a tanszékkel és a gyakorlat helyszínével."
Milyen lehetőségek vannak a BME VIK-nél a szakmai gyakorlat elhelyezésére?,"A BME VIK-nél több lehetőség is van a szakmai gyakorlat elhelyezésére. Például a tanszékhez kötődő kutatócsoportokban, projektjeinkben vagy együttműködő cégeknél lehet gyakorlatot végezni. A konkrét lehetőségekről érdemes tájékozódni a tanszéken vagy a gyakorlat helyszínén."
Milyen adminisztratív teendők vannak a BME VIK-nél a szakmai gyakorlat elhelyezése során?,"A szakmai gyakorlat elhelyezése során szükséges lehet bizonyos adminisztratív teendők elvégzése. Ilyen lehet például az űrlap kitöltése, a szerződéskötés vagy az aláírások beszerzése. A konkrét adminisztratív teendő"
